operation,realCrudSemantics,inferredCrudSemantics,realResourceType,inferredResourceType,realInputResourceIdentifier,inferredInputResourceIdentifier,realOutputResourceIdentifier,inferredOutputResourceIdentifier
POST /identity/api/auth/v3/check-otp,UNKNOWN,CREATE,user,Cluster0,,,,
POST /identity/api/auth/forget-password,UNKNOWN,CREATE,user,Cluster0,,,,
GET /workshop/api/shop/products,READ_MULTI,READ,product,Cluster1,,,,ProductId
POST /identity/api/v2/user/change-email,UPDATE,CREATE,user,Cluster0,,,,
POST /identity/api/v2/vehicle/resend_email,UNKNOWN,CREATE,vehicle,Cluster0,,,,
PUT /identity/api/v2/user/videos/{video_id},UPDATE,UPDATE,video,Cluster4,VideoId,VideoId,,VideoId
GET /identity/api/v2/vehicle/vehicles,READ_MULTI,READ_MULTI,vehicle,Cluster0,,,,Uuid
POST /community/api/v2/community/posts/{postId}/comment,CREATE,CREATE,comment,Cluster3,PostId,,,Authorid
POST /community/api/v2/coupon/validate-coupon,UNKNOWN,CREATE,coupon,Cluster1,,,,
POST /workshop/api/shop/orders,CREATE,CREATE,order,Cluster1,,ProductId,,
POST /identity/api/auth/v2/check-otp,UNKNOWN,CREATE,user,Cluster0,,,,
POST /workshop/api/shop/apply_coupon,UNKNOWN,CREATE,coupon,Cluster1,,,,
POST /identity/api/v2/user/videos,CREATE,CREATE,video,Cluster4,,,,VideoId
GET /identity/api/v2/vehicle/{vehicleId}/location,READ,READ,location,Cluster0,VehiclId,,,CarId
GET /workshop/api/mechanic/service_requests,READ_MULTI,READ_MULTI,serviceReport,Cluster0,,,,MechanId
POST /identity/api/v2/user/verify-email-token,UNKNOWN,CREATE,user,Cluster0,,,,
GET /identity/api/v2/user/videos/convert_video,UPDATE,READ,video,Cluster1,,VideoId,,
POST /workshop/api/shop/products,CREATE,CREATE,product,Cluster1,,,,ProductId
POST /identity/api/auth/signup,SIGN_UP,CREATE,user,Cluster0,,,,
POST /identity/api/auth/v2.7/user/login-with-token,LOG_IN,CREATE,user,Cluster0,,,,
PUT /workshop/api/shop/orders/{order_id},UPDATE,UPDATE,order,Cluster2,OrderId,ProductId,,ProductId
POST /identity/api/v2/vehicle/add_vehicle,CREATE,CREATE,vehicle,Cluster0,,,,
GET /workshop/api/mechanic/,READ_MULTI,READ_MULTI,mechanic,Cluster0,,,,MechanId
GET /identity/api/v2/user/dashboard,UNKNOWN,READ,user,Cluster4,,,,VideoId
GET /community/api/v2/community/posts/{postId},READ,READ,post,Cluster3,PostId,,,Authorid
GET /community/api/v2/community/posts/recent,READ_MULTI,READ_MULTI,post,Cluster3,,,,Authorid
GET /workshop/api/mechanic/mechanic_report,READ,READ,serviceReport,Cluster0,,,,MechanId
POST /community/api/v2/community/posts,CREATE,CREATE,post,Cluster3,,,,Authorid
GET /workshop/api/shop/orders/all,READ_MULTI,READ_MULTI,order,Cluster2,,,,ProductId
POST /workshop/api/merchant/contact_mechanic,UNKNOWN,CREATE,mechanic,Cluster0,,,,ResponFromMechanApiId
DELETE /identity/api/v2/admin/videos/{video_id},DELETE,DELETE,video,Cluster0,VideoId,VideoId,,
POST /identity/api/v2/user/pictures,CREATE,CREATE,pictures,Cluster0,,,,PicturId
DELETE /identity/api/v2/user/videos/{video_id},DELETE,DELETE,video,Cluster0,VideoId,VideoId,,
GET /workshop/api/shop/orders/{order_id},READ,READ,order,Cluster2,OrderId,OrderId,,OrderId
POST /workshop/api/shop/orders/return_order,READ,CREATE,order,Cluster2,,OrderId,,OrderId
POST /identity/api/auth/v4.0/user/login-with-token,LOG_IN,CREATE,user,Cluster0,,,,
GET /workshop/api/mechanic/receive_report,CREATE,READ,serviceReport,Cluster1,,,,MechanId
POST /identity/api/auth/login,LOG_IN,CREATE,user,Cluster0,,,,
GET /identity/api/v2/user/videos/{video_id},READ,READ,video,Cluster4,VideoId,VideoId,,VideoId
POST /workshop/api/mechanic/signup,CREATE,CREATE,mechanic,Cluster0,,,,
POST /identity/api/v2/user/reset-password,UNKNOWN,CREATE,user,Cluster0,,,,
POST /community/api/v2/coupon/new-coupon,CREATE,CREATE,coupon,Cluster1,,,,
GET /workshop/api/shop/return_qr_code,CREATE,READ,qr_code,Cluster1,,,,
